name,freereturns,items_sold,item_status,shipping_price,item_price
Too Faced Chocolate Soleil Matte Bronzer Pick Shade-Full Size 8g/.28oz New In Bo,False,,Brand New,484,1190
Marc Jacobs 104 TAN-TASTIC OMEGA BRONZE COCONUT PERFECT TAN BRONZER New in Box,True,113 sold,New without box,,3695
No7 Bronzer Suitable For Sensitive Skin (10g/0.35oz) You Pick As Seen In Pics,True,,Brand New,0,2499
"L'Oreal Paris True Match Lumi Bronze It Bronzer, 03 Deep, 0.41 fl oz",False,,New without box,0,1000
ESTEE LAUDER Bronze Goddess Healthy Glow Bronzer - 02 SUNSET 0.49 OZ New In Box,True,,Brand New,0,2825
New ListingEstee Lauder Bronze Goddess Powder Bronzer 02 Medium 0.74oz/21g SEALED BOX,True,,Brand New,0,2999
New Boots No7 Bronzer Maple Discontinued (10g),False,146 sold,New without box,0,999
"NIB Full Size Benefit ""HOOLA"" Original Bronzer",False,,Brand New,499,1998
"TOO FACED Chocolate Soleil Matte Bronzer, 8g/0.28 Oz. New in Box",False,,Brand New,,2275
Too Faced Chocolate Soleil Matte Bronzer Pick Shade-Full Size 8g/.28oz New In Bo,True,,Brand New,0,2299
"Physicians Formula Murumuru Butter Bronzer, Deep Bronzer, 0.38 oz",False,,Brand New,0,1299
Bobbi Brown Illuminating Bronzer **BAHAMA** NWOB,False,,New without box,457,2800
(2) Tower 28 BEST COAST Bronzino Illuminating Bronzer Cream 0.16oz NEW!!!,False,,Brand New,0,1499
Gucci Poudre De Beauté Éclat Soleil Bronzing Powder Bronzer Colour PICK NIB,False,11+ sold,Brand New,0,4800
Bobbi Brown Golden Light Bronzing Powder Bronzer Full Size ,True,,Brand New,0,3420
Jane Iredale PureBronze Shimmer Bronzer- You Pick Shade,True,,Brand New,0,3295
Jane Iredale Pure Bronzer Shimmer Bronzer Refills,False,,Brand New,471,2400
tarte Amazonian Clay Waterproof Bronzer - Park Ave Princess,False,,Brand New,399,1900
Clinique for Men Face Bronzer  2 oz/ 60ml - New DISCONTINUED,True,80 sold,New without box,0,42800
Too Faced SUN BUNNY California Glow Radiant Duo Tone BRONZER Full Size New,True,,Brand New,0,2790
Too Faced Chocolate Soleil ~ Medium to Deep Matte Bronzer ~ Travel 2.5g/.08 oz.,False,49 sold,New without box,0,1000
Tarte Park Ave Princess Waterproof Face & Body Bronzer ~Light-Medium ~ full size,True,,Brand New,0,2069
2x Estee Lauder Bronze Goddess Powder Bronzer ~ 02 MEDIUM ~ w/Brush NEW,True,,Brand New,0,899
TARTE PARK AVENUE PRINCESS AMAZONIAN CLAY MATTE WATERPROOF BRONZER BRAND-NEW!!!!,False,,Brand New,0,5595
"Estee Lauder Bronze Goddess Powder Bronzer, 02 MEDIUM, Full Size, NIB & Sealed",False,,Brand New,,2800
Too Faced Chocolate Soleil Natural Chocolate Healthy Glow Bronzer GOLDEN COCOA,True,25 sold,Brand New,499,1795
GUERLAIN ~ TERRA SOLEIA TAN ENHANCING BRONZER ~ .95 OZ JUMBO SIZE UNBOXED,True,51 sold,New without box,0,3080
✨ Pear Nova Light Bronzer + Contour Stick – 1.8 g / 0.06 oz + 3.4 g / 0.12 oz,True,,Brand New,500,800
Laura Geller Baked Sculpting Bronzer w/ Double-end Applicator-  MEDIUM/TAN NEW,False,,Brand New,655,1299
"Physicians Formula Magic Mosaic Bronzer, Warm Beige, Light Bronzer 2459",False,,Brand New,0,1100
Milani Baked Bronzer ~ 09 Dolce,False,48+ sold,New without box,0,894
Clinique True Bronze Pressed Powder Bronzer # 02 Sunkissed 0.33 Oz / 9.6 g New,True,,Brand New,,2299
"Physicians Formula Bronze Booster Glow Boosting Sun Stones, Light to Medium#7329",False,304 sold,Brand New,0,1698
Hourglass Ambient Lighting Bronzer 0.04 oz. Mini NIB -  Diffused Bronze Light,False,,Brand New,0,2249
TOO FACED Chocolate Soleil Melting Bronzing & Sculpting Stick CHOCOLATE MOUSSE,True,,Brand New,0,2400
Estee Lauder Bronze Goddess Powder Bronzer #03 Medium Deep 0.74 Oz,True,11 sold,Brand New,0,3599
New ListingToo Faced Chocolate Soleil Matte Bronzer .09oz Bronzing Powder Compact New Mini,False,,Brand New,0,1199
Laura Geller Soft Matte Baked Bronzer ~ FAIR ~ full size NIB .3 Oz,False,,Brand New,0,1599
"Too Faced Chocolate Soleil Longwear Matte Bronzer, Full Size 8g/0.28oz",False,16 sold,Brand New,0,2199
New bareMinerals All Over Face Loose Powder Warmth Bronzer 1.5g / 0.05oz,False,62 sold,Brand New,0,1425
Estee Lauder Bronze Goddess Powder Bronzer #02 Medium 0.74 Oz,False,,Brand New,0,3222
Too Faced Milk Chocolate Soleil Long-Wear Matte Bronzer - Size 8 g / 0.28 Oz.,False,,Brand New,0,2499
"MAC Skinfinish Sunstruck Matte Bronzer, MATTE LIGHT GOLDEN, .28 oz/8g",False,,Brand New,0,1959
Anastasia Beverly Hills Cream Bronzer HAZELNUT 30g / 1 Oz FULL SIZE NEW IN BOX,False,,Brand New,640,99
"Physicians Formula Murumuru Butter Bronzer, Light Bronzer",True,,Brand New,0,1199
Nars Laguna Bronzing Powder LAGUNA 02 (Original) - Full Size 0.38 Oz. / 11 g New,True,13 sold,Brand New,549,2426
2 X MILANI Tantastic Face and Body Baked Bronzer - #01 Fantastic In Gold,True,,New without box,0,4999
"BECCA BBFs BRONZE, BLUSH & GLOW PALETTE  KHLOE MALIKA",True,,Brand New,695,5299
Patrick Ta Bronzer Major Sculpt Creme Contour Powder Duo She’s Bronzed Full NIB,False,,Brand New,,2990
LAURA GELLER Baked Mediterranean BRONZER 0.35 oz MOROCCON BRONZE NEW IN BOX,True,,Brand New,0,1998
B PURE BRONZER DROPS,False,,New without box,484,550
(1 Ct.) Hard Candy - Instant Powder Bronzer - #9519 Tan Natural - 0.25 Oz,True,,Brand New,0,1289
1 PIECE - KEVYN AUCOIN THE NEO-BRONZER #42010 SUNRISE LIGHT 0.2oz EA NEW IN BOX,True,,Brand New,,1954
"The Balm  Bronzilla Bronzer, Contour & Shadow 8.5g NIB 0.3 Oz",False,,Brand New,0,899
LAURA GELLER BAKED BRONZE-N-BRIGHTEN MULTIPURPOSE BRONZER in FAIR 0.32oz. BNIB,False,,Brand New,484,2200
Rimmel Natural Bronzer ~ 022 Sun Bronze,False,,New without box,0,725
Bareminerals Invisible Bronze Powder Bronzer Medium 0.24 oz {FREE SHIP} READ,False,,Brand New,0,7998
Maybelline City Bronzer & Contour Powder Matte 0.32oz ~ You Choose One,False,,New without box,0,894
Tarte Amazonian Clay Waterproof Bronzer Compact Park Ave Princess - 0.035 oz NEW,True,,Brand New,0,1195
Anastasia Beverly Hills Cream Bronzer ASSORTED - New In Box,False,,Brand New,0,1499
bareMinerals Dark To Deep Invisible BRONZE Powder Bronzer (0.24 oz.),False,66 sold,Brand New,484,3000
bareMinerals WARMTH All Over Face Loose Powder Bronzer 0.05 oz SEALED,True,,New without box,0,1495
NYX Buttermelt Pressed Powder Natural Finish Bronzer ~ Choose Your Shade,False,,New without box,0,1425
bareMinerals MEDIUM Invisible BRONZE Powder BRONZER (0.24 oz.),False,,New without box,,2999
Dior Forever Natural Bronze Healthy Sunkissed Skin Bronzer - 04 (Tan) New in Box,False,69 sold,Brand New,0,3199
Milani Silky Matte Bronzing Powder Bronzer 0.34oz YOU CHOOSE,True,11+ sold,New without box,0,1299
"Elf Powder Contour Palette, Light / Medium",True,,New without box,100,999
Lot Of (4) Too Faced Chocolate Soleil ~ Med./ Deep Matte Bronzer ~  2.5g/.08 oz.,False,,New without box,0,1495
Trish McEvoy Bronzer Golden Deluxe Travel in Refillable Compact NEW!,False,27 sold,New without box,0,2000
Too Faced SWEETIE PIE Matte Bronzer (0.47 oz.) ,False,,New without box,495,8495
MALLY Visible Skin Bronzer  LIGHTER  0.35 oz   NEW without Box,False,,New without box,0,1450
NEW IN BOX Younique Beachfront Bronzer HERMOSA **RETIRED**,False,,Brand New,580,9000
New Listing*BRAND NEW* Revolution Man Ultimate Matte Bronzer .35oz Dark- PETA APPROVED,False,,Brand New,871,1000
NARS Laguna Bronzing Powder Full Size (LAGUNA 01) Brand New ‼️,False,,Brand New,471,2500
NARS Laguna Bronzing Powder Full Size (LAGUNA 01) Brand New ‼️,False,,Brand New,471,2500
"BUY 1, GET 1 AT 20% OFF (add 2) NYX Matte Bronzer, MBB01 Light (W/ SMUDGED)",False,,New without box,0,1898
Physicians Formula Powder Palette Multi Colored Bronzer 3869 Light Bronzer,False,,Brand New,0,1299
NARS Mini Laguna 04 Bronzer Powder NIB!,False,,Brand New,0,1600
NEW IN BOX Younique Beachfront Bronzer HERMOSA **RETIRED**,False,,Brand New,580,9000
bareMinerals All Over Face Loose Powder Warmth Bronzer 1.5g/0.05oz NEW,False,99 sold,Brand New,0,1450
2 Tarte PARK AVE PRINCESS WATER-PROOF FACE & BODY BRONZER LIGHT-MEDIUM W/BRUSHES,False,,New without box,0,2999
Benefit Cosmetics Powder Highlighter 0.28oz Full size Sealed,False,,Brand New,0,2499
Laura Mercier Face Illuminator Powder INDISCRETION Bronzer Highlighter NIB,False,,Brand New,0,1998
TOO FACED Dark Chocolate Soleil Matte Bronzer NEW in Box!,False,,Brand New,0,1972
Kevyn Aucoin Bronzer Veil powder #Tropical Nights-0.34oz(NIB),True,99 sold,Brand New,0,1888
Seint Beauty Highlight Foundation Contour Bronzer- Aspen,False,,Brand New,433,899
"Estee Lauder Bronze Goddess Powder Bronzer, 02 MEDIUM, Full Size, NIB & Sealed",False,,Brand New,0,3499
(2)One Size Made For Shade Bronze & Sculpt Trio Palette NIB Shade: Deep Trio,False,,Brand New,0,2000
ANASTASIA BEVERLY HILLS CREAM BRONZER - AMBER - Full Size 30g/ 1oz - NEW In Box,True,,Brand New,0,1450
"SEPHORA COLLECTION Matte Bronzer, #2 Mallorca #3 Santorini #5 Mykonos Sealed New",False,,New without box,0,1200
NEW It Cosmetics Hello Cheekbones Matte Bronzer & Highlighter Contour Duo NWOB,False,,New without box,0,1350
TOO FACED Chocolate Soleil Matte Bronzer Full Size 8 g  New in Box free ship,False,,Brand New,0,2499
Milani Baked Bronzer (05 Soleil) (0.25oz/7g) New Sealed!! As Seen In Pictures,True,,New without box,0,1099
Estee Lauder Bronze Goddess Powder Bronzer~ 03 Medium Deep ~ 0.74oz ~ Sealed,False,,Brand New,0,3320
Cargo Cosmetics Water Resistant Bronzer - 0.46 oz - BNIB,False,,Brand New,0,1100
New ListingbareMinerals Endless Summer BRONZER ~ FAUX TAN ~ 0.35 oz./10g,False,,Brand New,0,3800
Gigi Gorgeous The Sick Sculpt Bronzer EXTRA 0.1 oz Travel Size,False,52 sold,Brand New,461,529
Charlotte Tilbury Beautiful Skin Sun-Kissed Glow Bronzer TAN FULL SZ SEALED  $58,False,,Brand New,,2899
Urban Decay Beached Bronzer Shade SUN KISSED Full Size 9g/ 0.31oz New In Box,False,,Brand New,555,3000
Sephora Matte Bronzer - You Choose Shade - Sealed,True,,New without box,0,1119
Milani Silky Matte Bronzing Powder (0.35oz/9.5g) NEW SEALED *YOU PICK!*,True,,New without box,0,899
Lot of 3: Estee Lauder Bronze Goddess Powder Bronzer ~ 02 Medium ~ with Brush,False,83 sold,New without box,0,1199
Laura Mercier Matte Radiance Baked Powder - Highlight-01 0.26oz 7.5g and primer,False,,New without box,0,950
NIB Mary Kay Bronzing Powder LIGHT-MEDIUM,False,,Brand New,0,3195
" 2 Rimmel Natural Bronzer ~ 022 Sun Bronze, Free Shipping.",False,,New without box,0,1299
Tarte Rose Bronze Colored Clay Bronzer Blush New ,False,,New without box,0,1600
Estee Lauder BRONZE GODDESS POWDER BRONZER 02 Medium .16 Oz / 4.68g Travel Size,False,,New without box,0,1998
LAURA GELLER Baked Double Take Versatile Powder Foundation 0.35oz (Choose Shade),False,,Brand New,0,1839
3 X BENEFIT HOOLA MATTE BRONZER GENEROUS MINI SIZE 0.14 oz.  NO BRUSH - NO BOX,True,,New without box,0,1859
Nars Laguna Bronzing Powder LAGUNA 03 - Full Size 0.38 Oz. / 11 g New,True,,Brand New,549,2245
L'Oreal Infallible 24H Fresh Wear Bronzer Soft Matte Finish ~ You Choose,False,,New without box,0,750
Laura Geller Baked Bronze-N-Brighten Multipurpose Bronzer .85oz MEDIUM Shade New,False,,Brand New,0,2933
Clarins Limited Edition Bronzing Compact .6oz - New In Box,False,,Brand New,462,2199
Lancome Star Bronzer #02 Sunkiss Natural Matte Long Lasting Bronzing Powder NIB,False,,Brand New,595,1795
"Rimmel London Natural - 022 Sun Bronze - Bronzer, Matte Finish, 0.49oz",False,,Brand New,0,680
Mary Kay Illuminating Bronzer Copper Glow #154380 Rare NIB .08 oz. Discontinued ,False,,Brand New,0,2150
Too Faced CHOCOLATE SOLEIL Longwear Bronzer MATTE Full Size ,True,,Brand New,0,2519
Charlotte Tilbury~Airbrush Bronzer Refillable~Matte Bronzing~#1 Fair/Pale 0.56,True,28 sold,Brand New,0,3899
Milani Silky Matte Bronzing Powder ~ Choose Your Shade,False,70+ sold,New without box,0,925
Seint Highlight Or Setting Powder (CHOOSE YOUR SHADE) Foundation Concealer cover,False,27+ sold,New without box,451,1800
Hourglass Ambient Lighting Bronzer .04oz./1.3g. Mini NIB - Luminous Bronze Light,False,,Brand New,0,2249
Laura Geller Baked Bronze N Brighten Bronzer Medium Multipurpose New Box 0.32oz,False,,Brand New,0,2160
Merit Bronze Balm Sheer Sculpting Bronzer Stick Pick 1 New In Box Cruelty-free,False,,Brand New,484,3440
Physicians Formula Butter Cake Bronzer Chocolate 1711959 Limited Edition New,True,,Brand New,0,1495
Chanel Bronzing Cream Sample 5g *Choose Your Formula*,False,6+ sold,New without box,0,2999
BENEFIT Hoola Bronzing Powder Bronzer CARAMEL .28 oz Full Size,False,,Brand New,0,2499
Rimmel Radiance Brick Multi-Tonal Shimmer Powder Shade 001 Light 0.42oz,False,,New without box,0,1019
Cover FX Monochromatic Blush Duo Matte + Shimmer 0.51 oz *CHOOSE SHADE*,True,,Brand New,195,1305
Anastasia Beverly Hills Cream Bronzer WARM TAN - Full Size 1 Oz Boxed,False,,Brand New,0,1995
Hikari Shimmer Bronzer Flush 4.0 g/.14 oz New Sealed,False,,New without box,484,999
"Elf Skin Bronzing Drop Bronzer, You Choose",True,,Brand New,100,999
"Nars Laguna Bronzing Powder (0.38oz/11g) New As Seen In Pics, You Pick!",True,,Brand New,0,2099
Tarte Tarteist Pro Glow & Blush Cheek Palette ~ Brand New ~ 100% Authentic,True,46 sold,New without box,195,3050
Huda Beauty Glowish Soft Radiance Bronzing Powder (3g/0.10oz/04 Deep Tan) New,False,,Brand New,0,1275
Merit Bronze Balm Sheer Sculpting Bronzer Clay Light Skin 0.44 oz,False,,Brand New,0,3295
"New Laura Mercier Matte Radiance Baked Powder - Bronze 03, 0.06oz Travel Size",False,137 sold,New without box,0,999
Laura Geller Baked Frosting All Over Face & Body Glow ~ 24K GLOW ~ full size,True,63 sold,New without box,0,1350
FARMASI ❤️New In Box ~Creamy CONTOUR BRONZER STICK ~ SMIZE,False,,Brand New,0,1795
