name,freereturns,items_sold,item_status,shipping_price,item_price
Epiphone S-310 1990s - Black Left Handed🔥🔥 case not included,False,,Open Box,15510,29551
"LyxPro 39"" Telecaster Style Electric Guitar, Full-Size Paulownia Body, White",True,,Pre-Owned,0,7376
New ListingBlack and white checkerboard pattern electric guitar special relics by hands US,False,,Brand New,2000,19900
New ListingBLUE LIGHTNING ELECTRIC GUITAR w/ HARD SHELL CASE & ACCESSORIES !!!,False,,Brand New,0,26500
"27"" Scale Length Buckethead Electric Guitar Bone Nut 24 Frets Glossy White Solid",True,,Open Box,,23650
Donner HUSH™ I Headless Acoustic Electric Guitar Silent Pratice Earphones Pink,True,,Certified - Refurbished,0,13999
Glarry School Band Burning Fire 24 Frets Electric Guitar with Bag & Accessories,True,,Brand New,0,6898
New Glarry ST 22 Frets Burning Fire Basswood Electric Guitar Kit W/Bag Black,False,28 sold,Brand New,0,5795
New ListingDonner DST-80 Electric Guitar SSS Pickup Solid Body Blue With Amplifier Bag,True,,Certified - Refurbished,0,99
Glarry Electric Guitar Set Burning Fire Right-Handed Basswood School Band,True,,Brand New,0,7998
"Free Ship! Electric Guitar Kit: 6-String, 24-Fret, Dual Humbuckers, 10W Amp",False,,Brand New,0,16500
YOU PICK -NEW TELE-STYLE 4 STRING TENOR ELECTRIC GUITAR W/ GIG BAG,True,41+ sold,Brand New,0,17500
"Sterling by Musicman 6 String  James Valentine Signature Guitar, JV60, Trans, Tr",True,,Brand New,0,98688
🎸 Donner DST-100 Electric Guitar With Amp Bag Strap Tuner Solid Body HSS Pickup,True,,Brand New,0,11999
Rogue Rocketeer Electric Guitar Pack Red Burst,False,106 sold,Brand New,0,21999
Pyle 6-String Electric Guitar Red Package W/Amplifier Tuner Picks & Bag,True,,Brand New,0,10199
New ListingSquier Standard Stratocaster Antique Burst Electric Guitar w/ Soft Case & Accs.,True,,Pre-Owned,4495,69500
Unfinished DIY Electric Guitar Kits Binding GD Archtop Flame Maple Top FREE SHIP,False,,Brand New,0,16900
Donner DST-152 Electric Guitar Coil Split HSS Pickup Solid Body With Amplifier,True,,Certified - Refurbished,0,13999
Jackson JS Series Dinky Minion JS1X Electric Guitar Metallic Red,False,,Brand New,0,20999
New Listing🎸Donner Q1 Electric Guitar Solid Body + Bag Humbucker HSS Pickup Obsidian Black,True,,Open Box,0,99
"Glarry 39"" Full Size Electric Guitar Kit School Band with 20W Amplifier & Bag US",True,160 sold,Brand New,0,7995
New ListingUs warehouse ships LP electric Guitar Flame Maple Top 3H pickup 22 frets,False,,Brand New,1000,26900
"LyxPro Beginner 30"" Telecaster Style Electric Guitar, Paulownia Body, Black",True,,Pre-Owned,0,4929
Glarry GST Stylish H-H Pickup Electric Guitar Kit Right Handed with 20W AMP Bag,True,,Brand New,0,8485
"Pyle Classic Basswood Electric Guitar 6-String w/ 22 Frets, Amp & Accessories",True,,Brand New,0,10199
"Pyle Electric Guitar Kit with Amp, Full Size, Beginner Bundle Accessories, 3 inc",True,,Brand New,0,17299
Donner HUSH-X Headless Electric Guitar H-S Pickup With Gig Bag Headphone | Black,True,,Brand New,0,27500
Donner DLP-124 Electric Guitar With Gig Bag HH Pickup Solid Body Glossy Sunburst,True,,Brand New,0,9999
Glarry Electric Guitar School Band for Beginner With Bag & 20W AMP Black,True,,Brand New,0,8799
Roidtest,False,,Brand New,0,12000
"New ListingLyxPro Beginner 30” Electric Guitar & Electric Guitar Accessories, Red (Open Box",True,,Open Box,0,8031
James Hetfield 'Eet Fuk' Explorer Electric Guitar - Cream Yellow Mahogany Body,False,,Brand New,0,25839
New Firefly Fftl Model Yellow Color  ELECTRIC GUITARS,False,,Brand New,,19098
Rosewood Fingerboard Metallic Gold P90 Pickups Standard Electric Guitar,True,,Brand New,0,21824
H in stock Black Electric Guitar chrome tremolo hardware P90 pickups ABR bridge,False,,Brand New,0,22968
🎸Donner DST-200 Electric Guitar Tremolo Bridge Coil Spilt Solid Body HSS Pickup,True,,Brand New,0,9999
Mitchell MD200 Double Cutaway Electric Guitar Electric Pink,False,,Brand New,0,12999
US warehouse LP fluorescent green electric guitar with mahogany body 2H Pickups,False,,Brand New,0,23900
"LyxPro Beginner 30” Electric Guitar & Electric Guitar Accessories, Pink",True,,Pre-Owned,0,7038
"LyxPro 39"" Telecaster Style Electric Guitar, Full-Size Paulownia Body, Mahogany",True,,Brand New,0,11999
New ListingHot selling 6-string LP electric guitar Chrome plated hardware US warehouse,False,,Brand New,0,22200
22-fret School Band Rosewood Fingerboard Electric Guitar Set Sunset,True,73 sold,Brand New,0,5999
